Provinces and Territories,Testing Unit,Testing Info
Alberta,Number of Tests performed,
British Columbia,Number of Tests performed,"Change in reported testing definition on April 15, 2020"
Manitoba,Number of Tests performed,
New Brunswick,Number of Tests performed,"Change in reported testing definition on July 13, 2020"
Newfoundland and Labrador,Number of People Tested,"Change in reported testing definition on March 23, 2020"
NorthWest,Number of Tests performed,
Nova Scotia,Number of Tests performed,
Nunavut,Number of People Tested,"Change in reported testing definition on July 22, 2020"
Ontario,Number of Tests performed,"Change in reported testing definition on March 30, 2020 and April 15, 2020"
Prince Edward Island,Number of Tests performed,
Quebec,Number of People Tested,"Change in reported testing definition on July 23, 2020"
Saskatchewan,Number of People Tested,"Change in reported testing definition on March 26, 2020"
Yukon,Number of People Tested,
