"us1","us2","index","can1","can2","uk1","uk2","it1","it2","sko1","sko2","au1","au2"
157825,0.477,1,268154,7.105,NA,NA,NA,NA,311805,6.082,1192262,46.756
213491,0.645,2,295065,7.818,NA,NA,NA,NA,317240,6.188,1224795,48.031
281179,0.849,3,311971,8.266,NA,NA,NA,NA,324408,6.328,1244200,48.792
348699,1.053,4,334849,8.872,NA,NA,NA,NA,333142,6.498,1288223,50.519
411034,1.242,5,336806,8.924,NA,NA,NA,NA,343618,6.702,1338321,52.483
481548,1.455,6,346507,9.181,NA,NA,NA,NA,350573,6.838,1367444,53.626
572026,1.728,7,359269,9.519,NA,NA,NA,NA,361742,7.056,1397622,54.809
671940,2.03,8,373581,9.898,NA,NA,NA,NA,371361,7.243,1428538,56.021
783465,2.367,9,383322,10.156,NA,NA,NA,NA,NA,NA,1454568,57.042
900332,2.72,10,401552,10.639,NA,NA,NA,NA,381663,7.444,1472220,57.734
1006901,3.042,11,404651,10.721,NA,NA,NA,NA,393672,7.679,1490387,58.447
1103506,3.334,12,428920,11.364,NA,NA,NA,NA,404962,7.899,1512700,59.322
1210125,3.656,13,450717,11.942,155174,2.286,NA,NA,413858,8.072,1546329,60.641
1334402,4.031,14,462353,12.25,167098,2.461,NA,NA,424365,8.277,1579192,61.929
1466249,4.43,15,487060,12.905,182047,2.682,NA,NA,NA,NA,1590588,62.376
1605724,4.851,16,503003,13.327,222937,3.284,NA,NA,441662,8.615,1617462,63.43
1752821,5.295,17,516216,13.677,238836,3.518,NA,NA,447509,8.729,1633515,64.06
1885682,5.697,18,536062,14.203,251569,3.706,NA,NA,456654,8.907,1650684,64.733
2010375,6.074,19,555551,14.72,265885,3.917,NA,NA,468145,9.131,1679954,65.881
2138091,6.459,20,565931,14.995,280304,4.129,NA,NA,479202,9.347,1711223,67.107
2285167,6.904,21,576348,15.271,296747,4.371,NA,NA,487753,9.514,1745550,68.453
2628014,7.94,22,620101,16.43,315141,4.642,NA,NA,496409,9.682,1782651,69.908
2790062,8.429,23,643398,17.047,332925,4.904,NA,NA,500833,9.769,1812353,71.073
2965605,8.959,24,669558,17.74,350575,5.164,NA,NA,505352,9.857,1828149,71.692
3169569,9.576,25,691663,18.326,365081,5.378,NA,NA,512787,10.002,1848347,72.485
3300567,9.971,26,717451,19.009,379649,5.592,NA,NA,519526,10.133,1876117,73.574
3407137,10.293,27,740859,19.629,395912,5.832,NA,NA,524507,10.23,1927497,75.588
3557156,10.747,28,758412,20.095,414469,6.105,NA,NA,532277,10.382,1970205,77.263
3735490,11.285,29,788283,20.886,435389,6.414,NA,NA,NA,NA,2005378,78.643
3910434,11.814,30,832222,22.05,456527,6.725,NA,NA,546866,10.667,2041324,80.052
4082955,12.335,31,NA,NA,477776,7.038,NA,NA,551054,10.748,2107849,82.661
4253585,12.851,32,893490,23.674,497092,7.322,NA,NA,558293,10.889,2132821,83.64
4384976,13.248,33,919368,24.359,532229,7.84,NA,NA,565838,11.037,2180424,85.507
4537861,13.709,34,940567,24.921,554992,8.175,NA,NA,573832,11.193,2232341,87.543
4750420,14.352,35,942526,24.973,578066,8.515,NA,NA,579920,11.311,2281839,89.484
4969761,15.014,36,1001882,26.545,606093,8.928,NA,NA,NA,NA,2336061,91.611
5184027,15.662,37,1032012,27.344,634319,9.344,NA,NA,NA,NA,2379175,93.301
5426504,16.394,38,1067595,28.287,663377,9.772,NA,NA,592765,11.562,2415695,94.734
5637072,17.03,39,1093228,28.966,694987,10.238,NA,NA,599311,11.689,2455982,96.313
5833036,17.622,40,1118950,29.647,726553,10.703,NA,NA,605890,11.818,2505923,98.272
6047364,18.27,41,1145683,30.356,771817,11.369,NA,NA,NA,NA,2563782,100.541
6288327,18.998,42,1169380,30.983,839597,12.368,NA,NA,614384,11.983,2617860,102.662
6572261,19.856,43,1172796,31.074,922684,13.592,NA,NA,619066,12.075,2668036,104.629
6873265,20.765,44,1232912,32.667,996826,14.684,NA,NA,622385,12.14,2713435,106.41
7157554,21.624,45,1265502,33.53,1060387,15.62,NA,NA,625745,12.205,2759165,108.203
7428879,22.444,46,1296695,34.357,1128590,16.625,935310,15.469,631379,12.315,2801107,109.848
7607390,22.983,47,1319987,34.974,1202251,17.71,943151,15.599,635086,12.387,2856406,112.016
7815837,23.613,48,1336967,35.424,1268054,18.679,971246,16.064,640959,12.502,2910831,114.151
8173966,24.695,49,1372929,36.377,1343722,19.794,1015494,16.796,645996,12.6,2970268,116.482
8479855,25.619,50,1375050,36.433,1420462,20.924,1052577,17.409,650877,12.695,3021493,118.49
8843589,26.718,51,1401564,37.135,1495302,22.027,1147850,18.985,NA,NA,3075488,120.608
9235032,27.9,52,1431911,37.939,1569888,23.125,1186526,19.624,657570,12.826,3117788,122.267
9544541,28.835,53,1454890,38.548,1643429,24.209,1210639,20.023,664560,12.962,3162237,124.01
9755779,29.473,54,1479762,39.207,1710628,25.199,1237317,20.464,676341,13.192,3222141,126.359
10102015,30.519,55,1500481,39.756,1782996,26.265,1274871,21.086,690762,13.473,3287716,128.931
10499275,31.72,56,1528239,40.492,1864403,27.464,1313460,21.724,706872,13.787,3350444,131.391
10913832,32.972,57,1559204,41.312,1946011,28.666,1354901,22.409,NA,NA,3413831,133.876
11334458,34.243,58,1593377,42.217,2034056,29.963,1398633,23.132,729993,14.238,3476463,136.333
11753925,35.51,59,1631174,43.219,2122318,31.263,1429864,23.649,737118,14.377,3534425,138.606
12110596,36.588,60,1663042,44.063,2197608,32.372,1456911,24.096,748649,14.602,3590735,140.814
12407992,37.486,61,1691297,44.812,2260688,33.301,1479910,24.477,760082,14.825,3650529,143.159
12730165,38.459,62,1721435,45.61,2332060,34.353,1512121,25.01,770595,15.03,3719837,145.877
13174142,39.801,63,1751547,46.408,2413462,35.552,1549892,25.634,782132,15.255,3795421,148.841
13576624,41.017,64,1787370,47.357,2506869,36.928,1563557,25.86,792851,15.464,3859505,151.354
14073987,42.519,65,1824781,48.349,2590930,38.166,1608985,26.612,NA,NA,3935124,154.319
14552206,43.964,66,1830422,48.498,2670829,39.343,1645076,27.209,807348,15.747,3987090,156.357
14922863,45.084,67,1868201,49.499,2722676,40.107,1676460,27.728,817431,15.944,4098249,160.716
15214885,45.966,68,1896746,50.255,2859563,42.123,1702283,28.155,831815,16.224,NA,NA
15608333,47.155,69,1930065,51.138,2923504,43.065,1741903,28.81,846296,16.507,4164454,163.313
16061636,48.524,70,1955643,51.816,2993833,44.101,1778952,29.423,860563,16.785,NA,NA
16568201,50.055,71,1989179,52.704,3078468,45.348,1820083,30.103,876603,17.098,4307224,168.912
17086706,51.621,72,2028420,53.744,3174018,46.755,1859110,30.748,887528,17.311,4346382,170.447
17592157,53.148,73,2072020,54.899,3263888,48.079,1899767,31.421,897333,17.502,4386911,172.037
18051090,54.535,74,2113848,56.008,3339151,49.188,1933272,31.975,910929,17.768,4481617,175.751
18416141,55.637,75,2152700,57.037,3403873,50.141,1959373,32.407,928987,18.12,4552081,178.514
18839735,56.917,76,2183400,57.85,3490527,51.417,1999599,33.072,945659,18.445,4632089,181.651
19293950,58.289,77,2216654,58.732,3587330,52.843,2038216,33.711,962194,18.767,4724026,185.257
19902373,60.128,78,2254405,59.732,3682775,54.249,2078860,34.383,977351,19.063,4764223,186.833
20490800,61.905,79,2295364,60.817,3782412,55.717,2121847,35.094,986288,19.237,4857414,190.488
21033045,63.543,80,2339487,61.986,3873426,57.058,2164426,35.798,993840,19.385,4918546,192.885
21529872,65.044,81,2382705,63.131,3957326,58.294,2198632,36.364,1008538,19.671,4980172,195.302
21878672,66.098,82,2415365,63.996,4059548,59.799,2219308,36.706,1025749,20.007,5041344,197.701
22552744,68.135,83,2444042,64.756,4151154,61.149,2253252,37.267,1041394,20.312,5109785,200.385
23124493,69.862,84,2482793,65.783,4249081,62.591,2290551,37.884,1057243,20.621,5180414,203.154
23748577,71.747,85,2518574,66.731,4349254,64.067,2330389,38.543,1071352,20.897,5243784,205.64
