"us1","us2","index","can1","can2","uk1","uk2","it1","it2","sko1","sko2","au1","au2"
157800,0.477,1,268154,7.105,NA,NA,NA,NA,311805,6.082,1192262,46.756
213433,0.645,2,295065,7.818,NA,NA,NA,NA,317240,6.188,1224795,48.031
281074,0.849,3,311971,8.266,NA,NA,NA,NA,324408,6.328,1244200,48.792
348587,1.053,4,334849,8.872,NA,NA,NA,NA,333142,6.498,1288223,50.519
410942,1.242,5,336806,8.924,NA,NA,NA,NA,343618,6.702,1338321,52.483
481716,1.455,6,346507,9.181,NA,NA,NA,NA,350573,6.838,1367444,53.626
572886,1.731,7,359269,9.519,NA,NA,NA,NA,361742,7.056,1397622,54.809
673352,2.034,8,373581,9.898,NA,NA,NA,NA,371361,7.243,1428538,56.021
785479,2.373,9,383322,10.156,NA,NA,NA,NA,NA,NA,1454568,57.042
902979,2.728,10,401552,10.639,NA,NA,NA,NA,381663,7.444,1472220,57.734
1009979,3.051,11,404651,10.721,NA,NA,NA,NA,393672,7.679,1490387,58.447
1107449,3.346,12,428920,11.364,NA,NA,NA,NA,404962,7.899,1512700,59.322
1214667,3.67,13,450717,11.942,NA,NA,NA,NA,413858,8.072,1546329,60.641
1339744,4.048,14,462353,12.25,155174,2.286,NA,NA,424365,8.277,1579192,61.929
1472858,4.45,15,487060,12.905,167098,2.461,NA,NA,NA,NA,1590588,62.376
1613244,4.874,16,503003,13.327,182047,2.682,NA,NA,441662,8.615,1617462,63.43
1760928,5.32,17,516216,13.677,222937,3.284,NA,NA,447509,8.729,1633515,64.06
1894360,5.723,18,536062,14.203,238836,3.518,NA,NA,456654,8.907,1650684,64.733
2020160,6.103,19,555551,14.72,251569,3.706,NA,NA,468145,9.131,1679954,65.881
2148707,6.492,20,565931,14.995,265885,3.917,NA,NA,479202,9.347,1711223,67.107
2296885,6.939,21,576348,15.271,280304,4.129,NA,NA,487753,9.514,1745550,68.453
2641527,7.98,22,620101,16.43,296747,4.371,NA,NA,496409,9.682,1782651,69.908
2804838,8.474,23,643398,17.047,315141,4.642,NA,NA,500833,9.769,1812353,71.073
2981872,9.009,24,669558,17.74,332925,4.904,NA,NA,505352,9.857,1828149,71.692
3186731,9.628,25,691663,18.326,350575,5.164,NA,NA,512787,10.002,1848347,72.485
3318408,10.025,26,717451,19.009,365081,5.378,NA,NA,519526,10.133,1876117,73.574
3425649,10.349,27,740859,19.629,379649,5.592,NA,NA,524507,10.23,1927497,75.588
3576080,10.804,28,758412,20.095,395912,5.832,NA,NA,532277,10.382,1970205,77.263
3754839,11.344,29,788283,20.886,414469,6.105,NA,NA,NA,NA,2005378,78.643
3930008,11.873,30,832222,22.05,435389,6.414,NA,NA,546866,10.667,2041324,80.052
4102686,12.395,31,NA,NA,456527,6.725,NA,NA,551054,10.748,2107849,82.661
4273517,12.911,32,893490,23.674,477776,7.038,NA,NA,558293,10.889,2132821,83.64
4405154,13.309,33,919368,24.359,497092,7.322,NA,NA,565838,11.037,2180424,85.507
4558384,13.771,34,940567,24.921,532229,7.84,NA,NA,573832,11.193,2232341,87.543
4770770,14.413,35,942526,24.973,554992,8.175,NA,NA,579920,11.311,2281839,89.484
4989116,15.073,36,1001882,26.545,578066,8.515,NA,NA,NA,NA,2336061,91.611
5201723,15.715,37,1032012,27.344,606093,8.928,NA,NA,NA,NA,2379175,93.301
5443303,16.445,38,1067595,28.287,634319,9.344,NA,NA,592765,11.562,2415695,94.734
5652270,17.076,39,1093228,28.966,663377,9.772,NA,NA,599311,11.689,2455982,96.313
5847161,17.665,40,1118950,29.647,694987,10.238,NA,NA,605890,11.818,2505923,98.272
6060476,18.309,41,1145683,30.356,726553,10.703,NA,NA,NA,NA,2563782,100.541
6300982,19.036,42,1169380,30.983,771817,11.369,NA,NA,614384,11.983,2617860,102.662
6584344,19.892,43,1172796,31.074,839597,12.368,NA,NA,619066,12.075,2668036,104.629
6883667,20.796,44,1232912,32.667,922684,13.592,NA,NA,622385,12.14,2713435,106.41
7167121,21.653,45,1265502,33.53,996826,14.684,NA,NA,625745,12.205,2759165,108.203
7437592,22.47,46,1296695,34.357,1060387,15.62,935310,15.469,631379,12.315,2801107,109.848
7615278,23.007,47,1319987,34.974,1128590,16.625,943151,15.599,635086,12.387,2856406,112.016
7822724,23.633,48,1336967,35.424,1202251,17.71,971246,16.064,640959,12.502,2910831,114.151
8179880,24.712,49,1372929,36.377,1268054,18.679,1015494,16.796,645996,12.6,2970268,116.482
8484992,25.634,50,1375050,36.433,1343722,19.794,1052577,17.409,650877,12.695,3021493,118.49
8848872,26.734,51,1401564,37.135,1420462,20.924,1147850,18.985,NA,NA,3075488,120.608
9239956,27.915,52,1431911,37.939,1495302,22.027,1186526,19.624,657570,12.826,3117788,122.267
9549022,28.849,53,1454890,38.548,1569888,23.125,1210639,20.023,664560,12.962,3162237,124.01
9759464,29.485,54,1479762,39.207,1643429,24.209,1237317,20.464,676341,13.192,3222141,126.359
10105540,30.53,55,1500481,39.756,1710628,25.199,1274871,21.086,690762,13.473,3287716,128.931
10502362,31.729,56,1528239,40.492,1782996,26.265,1313460,21.724,706872,13.787,3350444,131.391
10916931,32.981,57,1559204,41.312,1864403,27.464,1354901,22.409,NA,NA,3413831,133.876
11337805,34.253,58,1593377,42.217,1946011,28.666,1398633,23.132,729993,14.238,3476463,136.333
11757612,35.521,59,1631174,43.219,2034056,29.963,1429864,23.649,737118,14.377,3534425,138.606
12115095,36.601,60,1663042,44.063,2122318,31.263,1456911,24.096,748649,14.602,3590735,140.814
12414620,37.506,61,1691297,44.812,2197608,32.372,1479910,24.477,760082,14.825,3650529,143.159
