"can1","can2","index","on1","on2","qc1","qc2","ab1","ab2","bc1","bc2","ns1","ns2"
173123,4.606,1,51629,3.544,83570,9.849,96897,22.167,53505,10.55,35628,36.677
195295,5.195,2,57874,3.973,90227,10.634,101323,23.179,53505,10.55,36030,37.091
213028,5.667,3,62733,4.307,95955,11.309,105317,24.093,53505,10.55,36409,37.481
227309,6.047,4,66753,4.583,100113,11.799,109015,24.939,56142,11.07,36740,37.822
244389,6.502,5,71338,4.897,104526,12.319,113499,25.964,58626,11.56,37010,38.1
261898,6.967,6,75046,5.152,109270,12.878,117835,26.956,57997,11.436,37306,38.405
280625,7.466,7,78796,5.409,113365,13.361,122447,28.011,59129,11.659,37482,38.586
302898,8.058,8,81364,5.586,118217,13.933,127165,29.091,60668,11.963,37701,38.811
320148,8.517,9,84601,5.808,123115,14.51,131572,30.099,60668,11.963,38124,39.247
332861,8.855,10,88698,6.089,126771,14.941,135442,30.984,60668,11.963,38453,39.585
345823,9.2,11,92673,6.362,131570,15.506,138681,31.725,64375,12.694,38720,39.86
357338,9.506,12,96321,6.612,137451,16.199,143886,32.916,65545,12.925,39105,40.257
371130,9.873,13,103165,7.082,143174,16.874,148937,34.071,66977,13.207,39509,40.672
385018,10.243,14,108230,7.43,148571,17.51,153766,35.176,68553,13.518,40051,41.23
399329,10.623,15,113082,7.763,153722,18.117,157517,36.034,71415,14.082,40494,41.686
413052,10.989,16,119092,8.176,158770,18.712,161245,36.887,71415,14.082,41295,42.511
428276,11.394,17,128093,8.794,163548,19.275,164722,37.682,71415,14.082,41969,43.205
445643,11.856,18,136992,9.405,167801,19.776,167015,38.207,78665,15.512,42447,43.697
464240,12.35,19,146454,10.054,171520,20.215,170509,39.006,80888,15.95,43000,44.266
480292,12.777,20,156097,10.716,176048,20.748,174327,39.88,83425,16.45,43483,44.763
498778,13.269,21,164840,11.316,180833,21.312,177559,40.619,86030,16.964,43918,45.211
524803,13.962,22,174170,11.957,185632,21.878,181107,41.431,88670,17.485,44398,45.705
546175,14.53,23,184531,12.668,190765,22.483,185293,42.388,88670,17.485,44969,46.293
567877,15.107,24,194745,13.369,195577,23.05,188157,43.044,88670,17.485,45535,46.876
590069,15.698,25,207040,14.213,200172,23.591,191330,43.769,96517,19.032,46152,47.511
610065,16.23,26,217618,14.94,204472,24.098,195402,44.701,98199,19.364,46525,47.895
633449,16.852,27,229638,15.765,208979,24.629,200218,45.803,100093,19.737,46525,47.895
656818,17.474,28,242188,16.626,214047,25.227,204723,46.833,102710,20.253,46525,47.895
684430,18.208,29,253040,17.371,219367,25.854,209317,47.884,104994,20.703,47729,49.134
707045,18.81,30,264594,18.164,224831,26.498,213078,48.745,104994,20.703,48206,49.626
729779,19.415,31,277522,19.052,230864,27.209,216536,49.536,104994,20.703,48787,50.224
760526,20.233,32,294054,20.187,235136,27.712,218964,50.091,111498,21.986,49445,50.901
783047,20.832,33,310359,21.306,239241,28.196,221571,50.687,112994,22.281,49847,51.315
809044,21.523,34,327505,22.483,250654,29.541,225588,51.606,114761,22.629,50161,51.638
837052,22.268,35,342060,23.483,259794,30.618,228793,52.34,116764,23.024,50459,51.945
869182,23.123,36,352714,24.214,266444,31.402,232774,53.25,118335,23.334,50836,52.333
897056,23.865,37,365675,25.104,276787,32.621,236789,54.169,118335,23.334,51301,52.812
926249,24.641,38,380854,26.146,278389,32.81,239799,54.857,118335,23.334,51601,53.121
958923,25.511,39,397149,27.264,284239,33.499,242781,55.54,118335,23.334,51886,53.414
979415,26.056,40,416376,28.584,290888,34.283,245949,56.264,125044,24.657,52172,53.708
1011823,26.918,41,433994,29.794,296528,34.947,249705,57.124,126236,24.892,52303,53.843
1045104,27.803,42,447964,30.753,302929,35.702,253459,57.982,127786,25.198,52591,54.14
1076113,28.628,43,459921,31.574,310868,36.638,256227,58.616,129942,25.623,52878,54.435
1111638,29.573,44,475058,32.613,319472,37.652,260365,59.562,129942,25.623,53327,54.897
1137205,30.253,45,492487,33.809,327782,38.631,263074,60.182,129942,25.623,53614,55.193
1168235,31.079,46,510841,35.069,335232,39.509,266301,60.92,135190,26.658,53872,55.458
1192955,31.737,47,528609,36.289,341102,40.201,271298,62.063,136321,26.881,54117,55.711
1221776,32.503,48,544826,37.403,346684,40.859,275524,63.03,138043,27.22,54324,55.924
1254196,33.366,49,553981,38.031,354172,41.741,281979,64.507,140136,27.633,54606,56.214
1288942,34.29,50,559794,38.43,361628,42.62,287671,65.809,141392,27.881,54910,56.527
1322393,35.18,51,567176,38.937,370820,43.703,287671,65.809,141392,27.881,55058,56.679
1352698,35.986,52,577682,39.658,380061,44.792,298696,68.331,145266,28.645,55381,57.012
1374188,36.558,53,588958,40.432,389618,45.919,303689,69.473,146432,28.874,55743,57.384
1396238,37.145,54,599986,41.189,395775,46.644,310271,70.979,147757,29.136,55974,57.622
1414184,37.622,55,611369,41.971,402059,47.385,317402,72.61,149477,29.475,56178,57.832
1439661,38.3,56,619539,42.532,409135,48.219,325148,74.382,151458,29.866,56493,58.157
1466514,39.014,57,629414,43.21,417796,49.24,331938,75.935,153359,30.24,56884,58.559
